age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
38,89814,9,0,0,50
28,336951,12,0,0,40
44,160323,10,7688,0,40
18,103497,10,0,0,30
34,198693,6,0,0,30
29,227026,9,0,0,40
63,104626,15,3103,0,32
55,104996,4,0,0,10
65,184454,9,6418,0,40
36,212465,13,0,0,40
26,82091,9,0,0,39
58,299831,9,0,0,35
48,279724,9,3103,0,48
43,346189,14,0,0,50
20,444554,10,0,0,25
43,128354,9,0,0,30
37,60548,9,0,0,20
40,85019,16,0,0,45
34,107914,13,0,0,47
34,238588,10,0,0,35
72,132015,4,0,0,6
25,220931,13,0,0,43
45,432824,9,7298,0,90
22,236427,9,0,0,20
23,134446,9,0,0,54
54,99516,9,0,0,35
32,109282,10,0,0,60
46,106444,10,7688,0,38
56,186651,7,0,0,50
26,43311,9,0,0,40
36,403681,13,0,0,40
22,248446,3,0,0,50
17,269430,6,0,0,40
20,257509,9,0,0,40
